ts,consumer1,consumer2
2019-02-01 02:01:00,341.5788,344.8930
2019-02-01 02:02:00,314.9927,324.8365
2019-02-01 02:03:00,337.4712,332.2213
2019-02-01 02:04:00,363.8725,336.9595
2019-02-01 02:05:00,312.7254,320.1271
2019-02-01 02:06:00,331.6018,307.9314
2019-02-01 02:07:00,318.6428,262.2757
2019-02-01 02:08:00,352.7495,357.3292
2019-02-01 02:09:00,324.0076,332.7425
2019-02-01 02:10:00,290.9005,334.6061
2019-02-01 02:11:00,293.8127,318.3146
2019-02-01 02:12:00,295.3787,312.3642
2019-02-01 02:13:00,291.9979,315.9512
2019-02-01 02:14:00,275.0505,309.6272
2019-02-01 02:15:00,267.2638,306.8876
2019-02-01 02:16:00,341.3468,325.0015
2019-02-01 02:17:00,332.8316,309.9307
2019-02-01 02:18:00,332.1633,323.9394
2019-02-01 02:19:00,338.2988,296.8548
2019-02-01 02:20:00,325.7392,304.1910
2019-02-01 02:21:00,289.0453,294.6482
2019-02-01 02:22:00,280.9567,288.4600
2019-02-01 02:23:00,331.9540,334.8267
2019-02-01 02:24:00,305.5064,308.9781
2019-02-01 02:25:00,301.6114,294.0056
2019-02-01 02:26:00,316.7150,306.2118
2019-02-01 02:27:00,314.7041,288.4274
2019-02-01 02:28:00,308.1131,275.1829
2019-02-01 02:29:00,290.7366,274.7910
2019-02-01 02:30:00,285.8351,253.4726
2019-02-01 02:31:00,386.7810,360.5793
2019-02-01 02:32:00,353.8559,333.6948
2019-02-01 02:33:00,342.2177,310.6995
2019-02-01 02:34:00,346.0003,349.3006
2019-02-01 02:35:00,351.4550,321.8179
2019-02-01 02:36:00,320.9886,329.6715
2019-02-01 02:37:00,287.7658,312.7290
2019-02-01 02:38:00,357.0311,350.8221
2019-02-01 02:39:00,340.3169,351.1002
2019-02-01 02:40:00,329.3207,327.4329
2019-02-01 02:41:00,311.3838,313.9052
2019-02-01 02:42:00,299.4744,339.9661
2019-02-01 02:43:00,297.7628,333.4845
2019-02-01 02:44:00,295.5818,312.5300
2019-02-01 02:45:00,273.2887,289.8501
2019-02-01 02:46:00,352.4120,358.5331
2019-02-01 02:47:00,320.9993,317.0221
2019-02-01 02:48:00,325.0543,314.8344
2019-02-01 02:49:00,334.4922,308.7977
2019-02-01 02:50:00,311.2358,306.7436
2019-02-01 02:51:00,297.9225,306.9371
2019-02-01 02:52:00,277.4667,295.3637
2019-02-01 02:53:00,316.3434,324.4195
2019-02-01 02:54:00,289.4070,319.8950
2019-02-01 02:55:00,301.7596,283.7135
2019-02-01 02:56:00,293.2719,296.8979
